processCcd timings:
overall:
processCcd.run: CpuTime median=108.0; mean=107.775862069; stdDev=17.1346524304; min=46; max=165; n=232
processCcd:isr.run: CpuTime median=27.0; mean=27.3405172414; stdDev=1.06693877666; min=26; max=31; n=232
processCcd:calibrate.run: CpuTime median=36.0; mean=35.5215517241; stdDev=3.85842799047; min=19; max=43; n=232
processCcd:measurement.run: CpuTime median=21.0; mean=22.036036036; stdDev=7.33672476197; min=11; max=48; n=222
processCcd:detection.makeSourceCatalog: CpuTime median=12.0; mean=13.0945945946; stdDev=3.93929928918; min=11; max=31; n=222



processCcd:calibrate:astrometry.astrometry: CpuTime median=1.0; mean=0.988986784141; stdDev=0.457307129179; min=0; max=2; n=454
processCcd:calibrate:astrometry.astrometry: UTime median=1.0; mean=0.883259911894; stdDev=0.432217862268; min=0; max=2; n=454
processCcd:calibrate:astrometry.astrometry: STime median=0.0; mean=0.0440528634361; stdDev=0.205212593812; min=0; max=1; n=454
processCcd:calibrate:astrometry.astrometry: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=454
processCcd:calibrate:astrometry.distort: CpuTime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=454
processCcd:calibrate:astrometry.distort: UTime median=0.0; mean=0.00440528634361; stdDev=0.0662259752351; min=0; max=1; n=454
processCcd:calibrate:astrometry.distort: STime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=454
processCcd:calibrate:astrometry.distort: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=454
processCcd:calibrate:astrometry.refitWcs: CpuTime median=0.0; mean=0.00675675675676; stdDev=0.0819213219796; min=0; max=1; n=444
processCcd:calibrate:astrometry.refitWcs: UTime median=0.0; mean=0.00900900900901; stdDev=0.0944872836189; min=0; max=1; n=444
processCcd:calibrate:astrometry.refitWcs: STime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=444
processCcd:calibrate:astrometry.refitWcs: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=444
processCcd:calibrate:astrometry.run: CpuTime median=1.0; mean=0.995594713656; stdDev=0.450137495948; min=0; max=2; n=454
processCcd:calibrate:astrometry.run: UTime median=1.0; mean=0.896475770925; stdDev=0.425338324092; min=0; max=2; n=454
processCcd:calibrate:astrometry.run: STime median=0.0; mean=0.0440528634361; stdDev=0.205212593812; min=0; max=1; n=454
processCcd:calibrate:astrometry.run: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=454
processCcd:calibrate:measurePsf.run: CpuTime median=7.0; mean=6.84234234234; stdDev=1.41657177528; min=4; max=11; n=222
processCcd:calibrate:measurePsf.run: UTime median=7.0; mean=6.90990990991; stdDev=1.52190935998; min=4; max=12; n=222
processCcd:calibrate:measurePsf.run: STime median=0.0; mean=0.0135135135135; stdDev=0.115459510072; min=0; max=1; n=222
processCcd:calibrate:measurePsf.run: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate:photocal.run: CpuTime median=1.0; mean=0.540540540541; stdDev=0.498353754448; min=0; max=1; n=222
processCcd:calibrate:photocal.run: UTime median=0.0; mean=0.45045045045; stdDev=0.497538784558; min=0; max=1; n=222
processCcd:calibrate:photocal.run: STime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate:photocal.run: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate:photocal.selectMatches: CpuTime median=0.0; mean=0.0405405405405; stdDev=0.197223236748; min=0; max=1; n=222
processCcd:calibrate:photocal.selectMatches: UTime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate:photocal.selectMatches: STime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate:photocal.selectMatches: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
